volume,vwap,open,close,high,low,timestamp,trades
183032.0,256.4304,256.35,256.505,256.56,256.3,2025-10-01 13:59:00,2488
154532.0,256.445,256.515,256.63,256.64,256.3,2025-10-01 14:00:00,2388
142378.0,256.641,256.63,256.62,256.76,256.49,2025-10-01 14:01:00,2153
120769.0,256.4779,256.62,256.35,256.625,256.31,2025-10-01 14:02:00,1869
115822.0,256.2326,256.37,256.24,256.42,256.0301,2025-10-01 14:03:00,2045
75771.0,256.4151,256.23,256.43,256.54,256.2,2025-10-01 14:04:00,1408
85538.0,256.3671,256.42,256.3198,256.42,256.2726,2025-10-01 14:05:00,1444
148610.0,256.1707,256.31,256.115,256.33,256.08,2025-10-01 14:06:00,1958
114017.0,256.1096,256.14,256.035,256.21,255.99,2025-10-01 14:07:00,1855
176619.0,255.9676,256.05,255.85,256.09,255.77,2025-10-01 14:08:00,2215
91184.0,255.8187,255.855,255.8501,255.945,255.73,2025-10-01 14:09:00,1550
74397.0,255.9795,255.87,256.0,256.0799,255.87,2025-10-01 14:10:00,1407
76553.0,255.8841,255.9884,255.795,256.0419,255.78,2025-10-01 14:11:00,1326
139488.0,255.6897,255.795,255.53,255.81,255.53,2025-10-01 14:12:00,1952
129065.0,255.5957,255.52,255.655,255.76,255.435,2025-10-01 14:13:00,1946
82871.0,255.8678,255.66,255.98,255.99,255.657,2025-10-01 14:14:00,1417
120376.0,255.9356,255.9875,256.054373,256.095,255.94,2025-10-01 14:15:00,1424
155374.0,256.2361,256.0512,256.37,256.4,256.025,2025-10-01 14:16:00,2324
147099.0,256.3675,256.37,256.34,256.47,256.3,2025-10-01 14:17:00,2132
106327.0,256.5328,256.35,256.7125,256.725,256.35,2025-10-01 14:18:00,1654
172642.0,256.9043,256.72,256.98,257.03,256.71,2025-10-01 14:19:00,2389
118829.0,256.9495,256.9855,256.93,257.0199,256.8901,2025-10-01 14:20:00,1635
142841.0,257.1846,256.93,257.18,257.33,256.915,2025-10-01 14:21:00,4576
143325.0,256.9711,257.18,256.75,257.22,256.74,2025-10-01 14:22:00,2338
84600.0,256.7211,256.76,256.715,256.81,256.625,2025-10-01 14:23:00,1580
105371.0,256.7296,256.73,256.7227,256.78,256.64,2025-10-01 14:24:00,1744
113838.0,256.6777,256.7285,256.6612,256.82,256.59,2025-10-01 14:25:00,1776
306121.0,256.3406,256.67,256.27,256.67,256.16,2025-10-01 14:26:00,3781
121051.0,256.3834,256.29,256.45,256.48,256.22,2025-10-01 14:27:00,1799
131627.0,256.5026,256.45,256.63,256.6699,256.38,2025-10-01 14:28:00,1919
192934.0,256.4699,256.63,256.1614,256.65,256.1614,2025-10-01 14:29:00,2753
109589.0,256.1862,256.18,256.15,256.259,256.1,2025-10-01 14:30:00,1633
110826.0,256.0986,256.1377,256.02,256.242,255.9493,2025-10-01 14:31:00,1668
117759.0,255.9355,256.0,255.89,256.02,255.8352,2025-10-01 14:32:00,1825
172913.0,255.5685,255.885,255.4599,255.907,255.4,2025-10-01 14:33:00,2110
101762.0,255.6556,255.46,255.8459,255.8459,255.46,2025-10-01 14:34:00,1558
85272.0,255.9008,255.835,255.965,255.98,255.8282,2025-10-01 14:35:00,1376
88160.0,255.9164,255.965,255.88,255.99,255.83,2025-10-01 14:36:00,1463
92312.0,255.8232,255.87,255.79,255.93,255.75,2025-10-01 14:37:00,1792
112105.0,255.74,255.79,255.77,255.83,255.61,2025-10-01 14:38:00,1797
64503.0,255.8547,255.77,255.82,255.93,255.76,2025-10-01 14:39:00,1237
106953.0,255.7504,255.82,255.735,255.84,255.66,2025-10-01 14:40:00,1692
70254.0,255.6603,255.74,255.7,255.745,255.585,2025-10-01 14:41:00,1176
76650.0,255.6482,255.69,255.69,255.7,255.5424,2025-10-01 14:42:00,1261
70944.0,255.6405,255.72,255.59,255.725,255.55,2025-10-01 14:43:00,1242
52825.0,255.5626,255.605,255.55,255.63,255.5,2025-10-01 14:44:00,1077
